definition,present,present_1sg,imperfective,perfective,imperative,infinitive,consensus_stem,set_a_b,translocutive,partitive,distributive,stem_type,metathesis_strategy,metathesis_involved,ka_variant,uwa_3rd,aki_1st,3rd_person_object,multiple_explanations
he's erasing it,skolvti,skolvti,skolvtisk,skolvt,skolvta,skolvtist,skolvti,a,False,False,False,con,none,False,False,False,False,False,True
"he, it's moving from one place to another",atanv,atanv,atanvsk,atanvs,atanvna,atanvst,atanv,a,False,False,False,vowel_a,none,False,False,False,False,False,True
"he's learning, he's learning it",atelhohkwa,atelohkwa,atelhohkwask,atelhohkwa,atelhohkwa,atelhohkwast,atelhohkwa,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's leaving it behind,hiya,iya,hiyask,hiy,hiya,hiyast,hiya,a,False,False,False,con,none,False,False,False,False,False,True
he's leaving a living thing behind,akhahiya,akhahiya,akhahiyask,akhahiy,akhahiya,akhahiyast,akhahiya,a,False,False,False,vowel_e,none,False,True,False,False,True,True
he's leaving it (flexible),niya,niya,niyask,niy,niya,niyast,niya,a,False,False,False,con,none,False,True,False,False,False,True
he's leaving a long object behind,tisiya,tisiya,tisiyask,tisiy,tisiya,tisiyast,tisiya,a,False,False,False,con,none,False,False,False,False,False,True
he's scattering it,atikaleya,atikaleya,atikaleyask,atikaley,atikaleya,atikaleyast,atikaleya,a,False,False,False,vowel_a,none,False,False,False,False,False,True
1. he's racing 2. he's running for office,athohkiya,athohkiya,athohkiyask,athohkiy,athohkiya,athohkiyast,athohkiya,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's shoveling it,khote,khote,khotesk,khotes,khotaki,khotest,khote,a,False,False,False,con,none,False,False,False,False,False,True
"he's taking off, removing a cap",alstule,alistule,alstulesk,alstules,alstulaki,alstulest,alstule,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's oiling it,lone,lone,lonesk,lone,lona,lonet,lone,a,False,False,False,con,none,False,True,False,False,False,True
he's washing (dishes),vtiye,vtiye,vtiyesk,vtiye,vtiya,vtiyet,vtiye,a,False,False,True,vowel_v,none,False,True,False,False,False,True
"1. he's reading, 2. he's examining him, it",koliye,koliye,koliyesk,koliye,koliya,koliyet,koliye,a,False,False,False,con,none,False,False,False,False,False,True
"he's rubbing him, it",askoliye,askoliye,askoliyesk,askoliye,askoliya,askoliyet,askoliye,a,False,False,False,vowel_a,none,False,False,False,False,True,True
he's laying a long object down,ti,ti,tisk,t,ta,tist,ti,a,False,False,False,con,none,False,False,False,False,True,True
"he's remembering him, it",anhtati,anvtati,anhtatisk,anhtat,anvtata,anhtatist,anhtati,a,False,False,False,vowel_a,none,False,False,False,False,True,True
"he's lifting him, raising him, it",salati,salati,salatisk,salatan,salatvka,salatot,salati,a,False,False,False,con,none,False,False,False,False,False,True
"he, it's ascending, raising",alsalati,alisalati,alsalatisk,alsalatan,alsalatvka,alsalatot,alsalati,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's mooring a boat,thalati,thalati,thalatisk,thalat,thalata,thalatist,thalati,a,False,False,False,con,none,False,False,False,False,False,True
he's joining,athelati,atelati,athelatisk,athelat,athelata,athelatist,athelati,a,False,False,False,vowel_a,none,False,False,False,False,False,True
"he's roping him, it",slati,slati,slatisk,slat,slata,slatist,slati,a,False,False,False,con,none,False,False,False,False,False,True
"he's placing his hand on him, it",asihthati,asihthati,asihthatisk,asihthat,asihthata,asihthatist,asihthati,a,False,False,False,vowel_a,none,False,False,False,False,True,True
he's sending a long object,ti,ti,tisk,t,ta,tist,ti,a,True,False,False,con,none,False,False,False,False,True,True
he's finishing it,skwati,skwati,skwatisk,skwat,skwata,skwatist,skwati,a,False,False,False,con,none,False,False,False,False,False,True
it's ending,lskwati,,lskwatisk,lskwat,,lskwatist,lskwati,a,False,False,False,con,none,False,False,False,False,False,True
he's exchanging/trading it,aliiti,aliiti,aliitisk,aliit,aliita,aliitist,aliiti,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's putting a long object in liquid,huti,uti,hutisk,hut,huta,hutist,huti,a,False,False,False,con,none,False,False,False,False,False,True
he's receiving punishment,stvti,stvti,stvtisk,stvt,stvta,stvtist,stvti,b,False,False,False,s_stem,none,False,False,False,False,False,True
he's putting a long object in a container,lati,lati,latisk,lat,lata,latist,lati,a,False,False,False,con,none,False,True,False,False,False,True
he's hiding a long object,vskalati,vskalati,vskalatisk,vskalat,vskalata,vskalatist,vskalati,a,False,False,False,vowel_v,none,False,True,False,False,False,True
it's misting,nhuyolati,,nhuyolatisk,nhuyolat,,nhuyolatist,nhuyolati,a,False,False,False,con,h_cons,True,True,False,False,False,True
he's setting up a bed,nilhati,nilhati,nilhatisk,nilhat,nilhata,nilhatist,nilhati,a,False,False,False,con,none,False,True,False,False,False,True
he's licking it,kanati,kanati,kanatisk,kanat,kanata,kanatist,kanati,a,False,False,False,con,none,False,False,False,False,False,True
he's sticking his head out,alskwaluti,aliskwaluti,alskwalutisk,alskwalutan,alskwalutvka,alskwalutot,alskwaluti,a,False,False,False,vowel_a,none,False,False,False,False,False,True
"he's missing him, it",nvti,nvti,nvtisk,nvt,nvta,nvtist,nvti,a,False,False,False,con,none,False,True,False,False,False,True
he's eating it (a single solid food),ki,ki,kisk,k,ka,kist,ki,a,False,False,False,con,none,False,False,False,False,True,True
1. he's leaving  2. it's starting,anhiki,aniki,anhikisk,anhikis,anhiki,anhikist,anhiki,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's gnawing it,skoki,skoki,skokisk,skok,skoka,skokist,skoki,a,False,False,False,con,none,False,False,False,False,False,True
he's eating a long object,stiki,stiki,stikisk,stik,stika,stikist,stiki,a,False,False,False,con,none,False,False,False,False,False,True
it's flooding,nohuki,,nohukisk,nohukan,,nohukot,nohuki,a,False,False,False,con,none,False,True,False,False,False,True
he's dipping liquid,khuki,kuki,khukisk,khukis,khuki,khukist,khuki,a,False,False,False,con,none,False,False,False,False,False,True
he's plowing it,taluki,taluki,talukisk,talukan,talukvka,talukot,taluki,a,False,False,False,con,none,False,True,True,False,False,True
1. he's tickling him; 2. he's spurring a horse,yhvki,yvki,yhvkisk,yhvk,yvka,yhvkist,yhvki,a,False,False,True,con,none,False,False,False,False,True,True
he's putting his gloves on,aliyesuli,aliyesuli,aliyesulisk,aliyesulan,aliyesulvka,aliyesulot,aliyesuli,a,False,False,True,vowel_a,none,False,False,False,False,False,True
he's putting his pants on,asuli,asuli,asulisk,asulan,asulvka,asulot,asuli,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's putting on a cap,alstuli,alistuli,alstulisk,alstulan,alstulvka,alstulot,alstuli,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's pouring liquid from a container,tli,tli,tlisk,tl,tlika,tlist,tli,a,False,False,False,con,none,False,False,False,False,False,True
he's sprinkling it (with a liquid),stutli,stutli,stutlisk,stutl,stutla,stutlist,stutli,a,False,False,True,con,none,False,False,False,False,False,True
he's shivering,nawi,nawi,nawisk,naw,nawa,nawist,nawi,b,False,False,False,con,none,False,False,True,True,False,True
"1. he's spilling it (a liquid or nonliquid like salt, sugar) 2. he's pouring it on the ground (liquid or non-liquid) 3. he's being wasteful (of money, etc.)",atsewi,atsewi,atsewisk,atsew,atsewa,atsewast,atsewi,a,False,False,False,vowel_a,none,False,False,False,False,False,True
"1. he's curing, doctoring him, 2. he's soldering, welding it",nhvwi,nvwi,nhvwisk,nhvwan,nvwvka,nhvwot,nhvwi,a,False,False,False,con,h_cons,True,True,False,False,True,True
it's thundering,yhvtakwalo,,yhvtakwalosk,yhvtakwalo,,yhvtakwalost,yhvtakwalo,a,False,False,False,con,none,False,False,False,False,False,True
he's leaving some liquid,nehiya,neiya,nehiyask,nehiy,nehiya,nehiyast,nehiya,a,False,False,False,con,none,False,True,False,False,False,True
he's taking off his glasses,akhthinvte,akathinvte,akhthinvtesk,akhthinvtes,akhthinvtaki,akhthinvtest,akhthinvte,a,False,False,True,vowel_a,none,False,False,False,False,False,True
he's taking it off,vnhte,vnhte,vnhtesk,vnhtes,vnhtaki,vnhtest,vnhte,a,False,True,False,vowel_v,none,False,True,False,False,False,True
He's getting drunk,yhvste,yhvste,yhvstesk,yhvsta,yhvstaka,yhvstest,yhvste,b,False,False,False,con,h_cons,True,False,False,False,False,True
"1. he's unhitching him, it 2. he's unhooking it 3. he's unplugging it",utale,utale,utalesk,utales,utalaki,utalest,utale,a,False,False,False,vowel_e,none,False,True,False,False,True,True
he's taking it (solid or flexible object) out of a container,le,le,lesk,les,laki,lest,le,a,False,False,False,con,none,False,True,False,False,True,True
he's taking off his shoes,alasule,alasule,alasulesk,alasules,alasulaki,alasulest,alasule,a,False,False,True,vowel_a,none,False,False,False,False,False,True
he's taking off his gloves,aliyesule,aliyesule,aliyesulesk,aliyesules,aliyesulaki,aliyesulest,aliyesule,a,False,False,True,vowel_a,none,False,False,False,False,False,True
he's taking his pants off,asule,asule,asulesk,asules,asulaki,asulest,asule,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's turning off the road,atle,atle,atlesk,atles,atlaki,atlest,atle,a,False,False,False,vowel_a,none,False,False,False,False,False,True
1. he's getting a flexible object  2. he's picking up a flexible object,ne,ne,nesk,nes,naki,nest,ne,a,False,False,False,con,none,False,True,False,False,True,True
he's pulling a trigger,otsane,otsane,otsanesk,otsanes,otsanaki,otsanest,otsane,a,False,False,False,vowel_e,none,False,True,False,False,False,True
"he's pulling him, it",nsane,nasane,nsanesk,nsanes,nasanaki,nsanest,nsane,a,False,False,False,con,none,False,True,False,False,True,True
he's conjuring,atanhese,atanese,atanhesesk,atanhesa,atanhesaka,atanhesest,atanhese,a,False,False,True,vowel_a,none,False,False,False,False,False,True
"he's kicking him, it",ayhvhthe,ayvhthe,ayhvhthesk,ayhvhthes,ayhthaki,ayhvhthest,ayhvhthe,a,False,False,False,vowel_a,none,False,False,False,False,True,True
"he's choosing him, it",asuye,asuye,asuyesk,asuyes,asuyaki,asuyest,asuye,a,False,False,False,vowel_a,none,False,False,False,False,True,True
he's eating a flexible object,ayhe,aye,ayhesk,ayha,ayaka,ayhest,ayhe,a,False,False,False,vowel_e,none,False,True,False,False,True,True
1. he's picking it up  2. he's getting it,ki,ki,kisk,kis,ki,kist,ki,a,False,False,False,con,none,False,False,False,False,False,True
he's waving his hand,asolvtaki,asolvtaki,asolvtakisk,asolvtakis,asolvtaki,asolvtakist,asolvtaki,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's having a nightmare,alhiki,atliki,alhikisk,alhikis,alhiki,alhikist,alhiki,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's snoring,kwhalaki,kwhalaki,kwhalakisk,kwhalakis,kwhalaki,kwhalakist,kwhalaki,a,False,False,True,con,none,False,False,False,False,False,True
he's thirsty,thateki,thateki,thatekisk,thatekan,thatekvka,thatekot,thateki,b,False,False,False,aspirated,none,False,False,False,False,False,True
1. he's getting some liquid  2. he's picking up some liquid,neki,neki,nekisk,nekis,neki,nekist,neki,a,False,False,False,con,none,False,True,False,False,False,True
he's taking his hat off,alskwethuhki,aliskwethuhki,alskwethuhkisk,alskwethuhkis,alskwethuhki,alskwethuhkist,alskwethuhki,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's hoeing it,loki,loki,lokisk,lokan,lokvka,lokot,loki,a,False,False,False,con,none,False,True,False,False,False,True
he's singing,nhoki,noki,nhokisk,nhokis,nhoki,nhokist,nhoki,a,False,False,True,con,h_cons,True,True,False,False,False,True
"he hears him, it",athvki,athvki,athvkisk,athvkan,athvkvka,athvkot,athvki,a,False,False,False,vowel_a,none,False,False,False,False,True,True
he's dancing,alski,aliski,alskisk,alskis,alski,alskist,alski,a,False,False,False,vowel_a,none,False,False,False,False,False,True
it's exploding,athaski,,athaskisk,athaskis,athaski,athaskist,athaski,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's stealing it,noski,noski,noskisk,noskis,noski,noskist,noski,a,False,False,False,con,none,False,True,False,False,False,True
he's taking his ring off,aliyesusthki,aliyesusthiki,aliyesusthkisk,aliyesusthkis,aliyesusthki,aliyesusthkist,aliyesusthki,a,False,False,False,vowel_a,none,False,False,False,False,False,True
"he's shelling, picking out (peas, nut meats, etc.)",vthohi,vthohi,vthohisk,vthohis,vthohi,vthohist,vthohi,a,False,False,True,vowel_e,none,False,True,False,False,False,True
"1. he's imitating him, it 2. he's mocking him",yheli,yeli,yhelisk,yhelis,yela,yhelist,yheli,a,False,False,False,con,none,False,False,False,False,True,True
he's writing it,owheli,oweli,owhelisk,owhelan,owhelvka,owhelot,owheli,a,False,False,False,vowel_e,none,False,True,False,False,False,True
"he's running away, he's escaping",alithi,alithi,alithisk,alithis,alithi,alithist,alithi,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's crushing it,sto,sto,stosk,sto,stotsa,stost,sto,a,False,False,False,con,none,False,False,False,False,False,True
he's hammering it,nvkwalo,nvkwalo,nvkwalosk,nvkwalo,nvkwalotsa,nvkwalost,nvkwalo,a,False,False,False,con,none,False,True,False,False,False,True
stubbing his toe,nhaskwalo,nhaskwalo,nhaskwalosk,nhaskwalo,nhaskwalotsa,nhaskwalost,nhaskwalo,b,False,False,False,con,h_cons,True,False,False,False,False,True
he's cracking it,vskwalo,vskwalo,vskwalosk,vskwalo,vskwalotsa,vskwalost,vskwalo,a,False,False,False,vowel_v,none,False,True,False,False,False,True
he's washing it,uhilo,uilo,uhilosk,uhilo,uhilotsa,uhilost,uhilo,a,False,False,False,vowel_e,none,False,True,False,False,False,True
he's measuring it,alhilo,atlilo,alhilosk,alhilo,alhilotsa,alhilost,alhilo,a,False,False,False,vowel_a,none,False,False,False,False,False,True
1. he's bathing  2. he's swimming,atawo,atawo,atawosk,atawo,atawotsa,atawost,atawo,a,False,False,False,vowel_a,none,False,False,False,False,False,True
1. he's bathing him 2. he's baptizing him,awo,awo,awosk,awo,awotsa,awost,awo,a,False,False,False,vowel_a,none,False,True,False,False,True,True
he's combing someone's hair,thawo,thawo,thawosk,thawo,thawotsa,thawost,thawo,a,False,False,False,con,none,False,False,False,False,False,True
he's combing his hair,alhthawo,alithawo,alhthawosk,alhthawo,alhthawotsa,alhthawost,alhthawo,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's performing a baptism,atawo,atawo,atawosk,atawo,atawotsa,atawost,atawo,a,False,False,True,vowel_a,none,False,False,False,False,False,True
"he's accumulating it, he's increasing it",nhehkwo,nehkwo,nhehkwosk,nhehkwo,nhehkwotsa,nhehkwost,nhehkwo,a,False,False,False,con,h_cons,True,True,False,False,False,True
he's washing his face,akvskwo,akvskwo,akvskwosk,akvskwo,akvskwotsa,akvskwost,akvskwo,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's sopping it,asu,asu,asusk,asus,asutsa,asust,asu,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's moving it from one place to another,hv,v,hvsk,hvs,hvna,hvst,hv,a,False,False,False,con,none,False,False,False,False,False,True
1. he's turning back 2. he's turning (his head or body),akhthahv,akathahv,akhthahvsk,akhthahvs,akhthahvna,akhthahvst,akhthahv,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's changing shoes,alasulaiyv,alasulaiyv,alasulaiyvsk,alasulaiyvs,alasulaiyvna,alasulaiyvst,alasulaiyv,a,False,False,True,vowel_a,none,False,False,False,False,False,True
he's changing his pants,asulaiyv,asulaiyv,asulaiyvsk,asulaiyvs,asulaiyvna,asulaiyvst,asulaiyv,a,False,False,False,vowel_a,none,False,False,False,False,False,True
there's an opening,tlanvt,,tlanvt,tlanvt,,,tlanvt,b,False,False,False,con,none,False,False,False,False,False,True
"he, it's going out of sight",atelik,atelik,atelik,atelits,ateliki,atelist,atelik,b,True,False,False,vowel_a,none,False,False,False,False,False,True
he's reprimanding him,skak,skak,skak,skats,skaki,skast,skak,a,False,False,False,con,none,False,False,False,False,False,True
he's becoming blind,khewak,kewak,khewak,khewats,khewaki,khewaist,khewak,a,False,False,True,con,none,False,False,False,False,False,True
"he's chasing him, it",khehek,khehek,khehek,khehvs,khehuka,khehvst,khehek,a,False,False,False,con,none,False,False,False,False,False,True
"he's attacking him, it",khthilek,kathilek,khthilek,khthilvs,kathiluka,khthilvst,khthilek,a,False,False,True,con,none,False,False,False,False,True,True
he's not having any luck hunting,kwholek,kwholek,kwholek,kwholvs,kwholuka,kwholvst,kwholek,b,False,False,False,con,none,False,False,False,True,False,True
"he's belching, burping",khulek,khulek,khulek,khulets,khuleki,khuleist,khulek,b,False,False,False,con,none,False,False,True,True,False,True
he's leading him by the hand,ohinek,oinek,ohinek,ohinvs,oinuka,ohinvst,ohinek,a,False,False,False,vowel_e,none,False,True,False,False,True,True
he's carrying a long object on his shoulder,anholhinek,anolhinek,anholhinek,anholhinvs,anholhinuka,anholhinvst,anholhinek,a,False,False,False,vowel_a,none,False,False,False,False,False,True
"1. he's dragging him, it 2. he's towing it",nsinek,nasinek,nsinek,nsinvs,nasinuka,nsinvst,nsinek,a,False,False,False,con,none,False,True,False,False,True,True
he's happy/thankful,alihelik,alielik,alihelik,alihelits,aliheliki,alihelist,alihelik,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's pitying him,atolik,atolik,atolik,atolits,atoliki,atolist,atolik,a,False,False,False,vowel_e,none,False,True,False,False,True,True
"1. it's pouring into a container (liquid), 2. it's filling",tlik,,tlik,tlits,,tliyst,tlik,a,False,False,False,con,none,False,False,False,False,False,True
1. it's getting shorter 2. he's getting short on,skwalok,skwalok,skwalok,skwalots,skwaloki,skwaloyst,skwalok,a,False,False,False,con,none,False,False,False,False,False,True
1. it's lacking 2. it's missing,lulok,lulok,lulok,lulots,luloki,lulost,lulok,a,False,False,False,con,none,False,True,False,False,False,True
he's cold,nhawok,nawok,nhawok,nhawots,nhawoki,nhawost,nhawok,a,False,False,False,con,h_cons,True,True,False,False,False,True
it's scattering,tikaleyok,,tikaleyok,tikaleyots,,tikaleyoyst,tikaleyok,a,False,False,False,con,none,False,False,False,False,False,True
"he's in agony, pain",kilhiyok,kiliyok,kilhiyok,kilhiyots,kilhiyoki,kilhiyost,kilhiyok,a,False,False,False,con,none,False,False,False,False,False,True
he's late,konhiyok,konhiyok,konhiyok,konhiyots,konhiyoki,konhiyost,konhiyok,b,False,False,False,con,none,False,False,False,True,False,True
he's becoming angry,nhalvk,nhalvk,nhalvk,nhalvts,nhalvki,nhalvist,nhalvk,b,False,False,False,con,h_cons,True,False,False,False,False,True
it's fading,skolvk,,skolvk,skolvts,,skolvyst,skolvk,a,False,False,False,con,none,False,False,False,False,False,True
"he's committing a crime, sin",skanvk,skanvk,skanvk,skanvts,skanvki,skanvyst,skanvk,a,False,False,False,con,none,False,False,False,False,False,True
he smells it,wsvk,wsvk,wsvk,wsvts,wsvki,wsvst,wsvk,b,False,False,False,con,none,False,False,True,True,False,True
"1. he, it's sinking  2. he, it is being buried",noyvk,noyvk,noyvk,noyvts,noyvki,noyvist,noyvk,a,False,False,False,con,none,False,True,False,False,False,True
he's whistling,svnhk,svnhk,svnhk,svnhts,svnhki,svnst,svnhk,a,False,False,False,con,none,False,True,True,False,False,True
he's arriving,luhk,luhk,luhk,luhts,luhki,luhist,luhk,a,False,False,False,con,none,False,True,False,False,False,True
"he's biting him, it",skalhk,skalhk,skalhk,skalhts,skala,skalst,skalhk,a,False,False,False,con,none,False,False,False,False,False,True
he's recognizing him,olhk,olik,olhk,olhts,oliki,olhist,olhk,a,False,False,False,vowel_e,none,False,True,False,False,True,True
he understands it,olhk,olik,olhk,olhts,olhki,olhist,olhk,a,False,False,False,vowel_e,none,False,True,False,False,False,True
it's bouncing,atatek,atatek,atatek,atatinvs,atatuka,atatinvt,atatek,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's limping,atatek,atatek,atatek,atates,atatuka,atatinvt,atatek,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's selling it,natek,natek,natek,natinvs,natuka,natinvt,natek,a,False,False,False,con,none,False,True,False,False,False,True
he's jumping,alhthatek,alithatek,alhthatek,alhthatinvs,alhthatuka,alhthatinvt,alhthatek,a,False,False,True,vowel_a,none,False,False,False,False,False,True
"he's following him, it",stawatek,stawatek,stawatek,stawatvs,stawatuka,stawatvst,stawatek,a,False,False,False,con,none,False,False,False,False,False,True
"he's turning, it over",lhihkwatek,lihkwatek,lhihkwatek,lhihkwatinvs,lihkwatuka,lhihkwatinvt,lhihkwatek,a,False,False,True,con,h_cons,True,True,False,False,True,True
he's parting with him (in death),htek,vtek,htek,htets,vteki,hteist,htek,a,False,False,False,vowel_e,none,False,True,False,False,True,True
he's taking a liquid somewhere by hand,nhtsek,nvtsek,nhtsek,nhtsvs,nhtsuka,nhtsvst,nhtsek,a,False,False,False,con,none,False,True,False,False,False,True
he's taking revenge,atlek,atlek,atlek,atlets,atleki,atleist,atlek,b,False,False,False,vowel_a,none,False,False,False,False,False,True
1. he's speaking  2. he's answering,nhek,nek,nhek,nhets,nheki,nhest,nhek,a,False,False,False,con,h_cons,True,True,False,False,False,True
he's swimming (propelling himself through water),ayhuinek,ayuinek,ayhuinek,ayhuinvs,ayhuinuka,ayhuinvst,ayhuinek,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's backing up,asinek,asinek,asinek,asinvs,asinuka,asinvst,asinek,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's tired,yawek,yawek,yawek,yawets,yaweki,yawest,yawek,b,False,False,True,con,none,False,False,False,True,False,True
he's crossing it (a body of water),sohk,sohk,sohk,sohts,sohki,sohist,sohk,a,False,False,True,con,none,False,True,True,False,False,True
it is sounding,noyhvhk,noyhvhk,noyhvhk,noyhvls,noyhvla,noyhvlhist,noyhvhk,b,False,False,False,con,none,False,False,False,True,False,True
it (forest or grass) is burning,alik,,alik,alits,,,alik,a,False,False,False,vowel_a,none,False,True,False,False,False,True
he's quitting,sulikok,sulikok,sulikok,sulikots,sulikoi,sulikost,sulikok,a,False,False,False,con,none,False,False,False,False,False,True
he's exiting,nukok,nukok,nukok,nukots,nukoi,nukost,nukok,a,False,False,False,con,none,False,True,False,False,False,True
"it's accumulating, it's increasing",nhehkwok,,nhehkwok,nhehkwots,nhehkwoki,nhehkwoist,nhehkwok,a,False,False,False,con,h_cons,True,True,False,False,False,True
"it (animal, plant) is dying",liwhok,liwok,liwhok,liwhots,liwhoki,liwhost,liwhok,a,False,False,False,con,none,False,True,False,False,False,True
"he's accepting him, it",atanilvk,atanilvk,atanilvk,atanilvts,atanilvki,atanilvst,atanilvk,a,False,False,True,vowel_a,none,False,False,False,False,True,True
"he's blowing, he's blowing on it",atsothask,atsothask,atsothask,atsothah,atsotha,atsothast,atsothask,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's buying it,whask,whask,whask,whas,whahi,whahist,whask,b,False,False,False,con,h_cons,True,False,False,False,False,True
he's swallowing it,khisk,kisk,khisk,khis,khihi,khihist,khisk,a,False,False,False,con,none,False,False,False,False,False,True
it's swelling,othisk,othisk,othisk,othis,othihi,othihist,othisk,a,False,False,False,vowel_e,none,False,True,False,False,False,True
he's getting a rash,kwenothisk,kwenothisk,kwenothisk,kwenothis,kwenothihi,kwenothist,kwenothisk,b,False,False,True,con,none,False,False,False,True,False,True
he's planting it,whisk,wisk,whisk,whis,whi,whist,whisk,a,False,False,False,con,none,False,False,False,False,False,True
"it's (round, long) falling",ohosk,oosk,ohosk,ohos,ohohi,ohohist,ohosk,a,False,False,False,vowel_e,none,False,True,False,False,False,True
he's piling it up,lhusk,lhusk,lhusk,lhun,lhuka,lhust,lhusk,a,False,False,False,con,none,False,True,True,False,False,True
"He is getting in a car, box, etc",atsavsk,atsavsk,atsavsk,atsan,atsavka,,atsavsk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's kissing her,thawetovsk,tawetovsk,thawetovsk,thaweton,tawetovka,thawetot,thawetovsk,a,False,False,False,con,none,False,False,False,False,True,True
he's shaking a flexible object,htsakvvsk,vtsakvvsk,htsakvvsk,htsakvn,vtsakvyha,htsakvt,htsakvvsk,a,False,False,False,vowel_e,none,False,True,False,False,True,True
"he's sprinkling it (with a liquid, powder, salt, etc.)",kwhayovsk,kwhayovsk,kwhayovsk,kwhayon,kwhayovka,kwhayot,kwhayovsk,a,False,False,True,con,none,False,False,False,False,False,True
it (wind) is blowing,nolvvsk,,nolvvsk,nolvn,,nolvt,nolvvsk,a,False,False,False,con,none,False,True,False,False,False,True
"he's attaching it (flexible), behind it",sanenatvsk,sanenatvsk,sanenatvsk,sanenatvn,sanenatvka,sanenatvt,sanenatvsk,a,False,False,False,con,none,False,True,True,False,False,True
he's stepping on him/it,alastvsk,alastvsk,alastvsk,alastvn,alastvvka,alastvt,alastvsk,a,False,False,False,vowel_a,none,False,False,False,False,True,True
