definition,present,imperfective,perfective,imperative,infinitive
stubbing his toe,uhnaskwalo,uhnaskwalosk,uhnaskwalo,tshanaskwalotsa,uhnaskwalost
he's cracking it,kvskwalo,kvskwalosk,uwaskwalo,hvskwalotsa,uwaskwalost
he's washing flexible objects (including clothes),tekhkilo,tekhkilosk,tuhkilo,thvhkilotsa,tsuhkilost
he's washing it,kuhilo,kuhilosk,uwuhilo,huhilotsa,uwuhilost
he's measuring it,ahlilo,ahlilosk,uhlilo,hahlilotsa,uhlilost
1. he's bathing  2. he's swimming,atawo,atawosk,utawo,hatawotsa,utawost
1. he's bathing him 2. he's baptizing him,kawo,kawosk,uwo,hiyawotsa,uwost
he's putting on a shirt,ahnawo,ahnawosk,uhnawo,hahnawotsa,uhnawost
he's putting on clothes,tahnawo,tahnawosk,tuhnawo,thahnawotsa,tsuhnawost
he's combing someone's hair,athawo,athawosk,uthawo,hithawotsa,uthawost
he's combing his hair,ahlthawo,ahlthawosk,uhlthawo,hahlthawotsa,uhlthawost
he's performing a baptism,tatawo,tatawosk,tutawo,thatawotsa,tsutawost
"he's accumulating it, he's increasing it",khanehkwo,khanehkwosk,uhnehkwo,hihnehkwotsa,uhnehkwost
he's washing his face,akvskwo,akvskwosk,ukvskwo,hakvskwotsa,ukvskwost
he's sopping it,asu,asusk,usus,hasutsa,usust
he's moving it from one place to another,ahv,ahvsk,uhvs,hihvna,uhvst
1. he's turning back 2. he's turning (his head or body),akhthahv,akhthahvsk,ukhthahvs,hakhthahvna,ukhthahvst
he's changing shoes,talasulaiyv,talasulaiyvsk,tulasulaiyvs,thalasulaiyvna,tsulasulaiyvst
he's changing his pants,asulaiyv,asulaiyvsk,usulaiyvs,hasulaiyvna,usulaiyvst
he's changing his shirt,ahnawaiyv,ahnawaiyvsk,uhnawaiyvs,hahnawaiyvna,uhnawaiyvst
he's changing clothes,tahnawaiyv,tahnawaiyvsk,tuhnawaiyvs,thahnawaiyvna,tsuhnawaiyvst
there's an opening,utlanvt,utlanvt,utlanvt,,
he's climbing it,kalek,kalek,ulvs,hiluka,ulvst
"he, it's going out of sight",wutelik,wutelik,wutelits,witsateliki,wutelist
they're having church services,tanilawik,tanilawik,tunilawits,titsilawiki,tsunilawist
he's reprimanding him,askak,askak,uskats,hiskaki,uskast
he's becoming blind,takhewak,takhewak,tukhewats,thikhewaki,tsukhewaist
"he's chasing him, it",akhehek,akhehek,ukhehvs,hikhehuka,ukhehvst
"he's attacking him, it",takhthilek,takhthilek,tukhthilvs,thikathiluka,tsukhthilvst
he's not having any luck hunting,ukhwolek,ukhwolek,ukhwolvs,tsakhwoluka,ukhwolvst
"he's belching, burping",uwakhulek,uwakhulek,uwakhulets,tsakhuleki,uwakhuleist
he's leading him by the hand,kohinek,kohinek,uwohinvs,hiyoinuka,uwohinvst
he's carrying a long object on his shoulder,ahnohlinek,ahnohlinek,uhnohlinvs,hahnohlinuka,uhnohlinvst
"1. he's dragging him, it 2. he's towing it",kansinek,kansinek,unsinvs,hinasinuka,unsinvst
he's happy/thankful,alihelik,alihelik,ulihelits,haliheliki,ulihelist
he's pitying him,katolik,katolik,uwatolits,hiyatoliki,uwatolist
"1. it's pouring into a container (liquid), 2. it's filling",atlik,atlik,utlits,,utliyst
1. it's getting shorter 2. he's getting short on,askwalok,askwalok,uskwalots,hiskwaloki,uskwaloyst
1. it's lacking 2. it's missing,kalulok,kalulok,ululots,hiluloki,ululost
he's cold,khanawok,khanawok,uhnawots,hihnawoki,uhnawost
it's scattering,atikaleyok,atikaleyok,utikaleyots,,utikaleyoyst
"he's in agony, pain",akihliyok,akihliyok,ukihliyots,hikihliyoki,ukihliyost
he's late,ukohniyok,ukohniyok,ukohniyots,tsakohniyoki,ukohniyost
he's becoming angry,uhnalvk,uhnalvk,uhnalvts,tshanalvki,uhnalvist
it's fading,askolvk,askolvk,uskolvts,,uskolvyst
"he's committing a crime, sin",askanvk,askanvk,uskanvts,hiskanvki,uskanvyst
he smells it,uwawsvk,uwawsvk,uwawsvts,tsawsvki,uwawsvst
"1. he, it's sinking  2. he, it is being buried",kanoyvk,kanoyvk,unoyvts,hinoyvki,unoyvist
he's whistling,kasvnhk,kasvnhk,uwasvnhts,hisvnhki,uwasvnst
he's arriving,kaluhk,kaluhk,uluhts,hiluhki,uluhist
he's returning,ikaluhk,ikaluhk,vuluhts,tsihiluhki,vuluhist
"he's biting him, it",askahlk,askahlk,uskahlts,hiskala,uskalst
he's recognizing him,kohlk,kohlk,uwohlts,hiyoliki,uwohlist
he understands it,kohlk,kohlk,uwohlts,hohlki,uwohlist
he's putting his hat on,alskwethuhvk,alskwethuhvsk,ulskwethuhn,halskwethuhvka,ulskwethust
he's going,ek,ek,uwenvs,hena,uwenvst
1. he's throwing it 2. he's pitching (ball),utek,utek,utinvs,tsatuka,utinvt
it's bouncing,atatek,atatek,utatinvs,hatatuka,utatinvt
he's limping,atatek,atatek,utates,hatatuka,utatinvt
he's selling it,kanatek,kanatek,unatinvs,hinatuka,unatinvt
he's jumping,tahlthatek,tahlthatek,tuhlthatinvs,thahlthatuka,tsuhlthatinvt
"he's following him, it",astawatek,astawatek,ustawatvs,histawatuka,ustawatvst
"he's turning, it over",tekhalihkwatek,tekhalihkwatek,tuhlihkwatinvs,thilihkwatuka,tsuhlihkwatinvt
he's parting with him (in death),khtek,khtek,uwhtets,hiyvteki,uwhteist
he's taking a liquid somewhere by hand,kanhtsek,kanhtsek,unhtsvs,hinhtsuka,unhtsvst
he's taking revenge,utlek,utlek,utlets,tsatleki,utleist
1. he's speaking  2. he's answering,khanek,khanek,uhnets,hihneki,uhnest
he's taking a long object somewhere by hand,kanek,kanek,uwanvs,hinuka,uwanvst
he's swimming (propelling himself through water),ahyuinek,ahyuinek,uhyuinvs,hahyuinuka,uhyuinvst
he's backing up,asinek,asinek,usinvs,hasinuka,usinvst
he's taking a flexible object somewhere by hand,kahnek,kahnek,uhnvs,hihnuka,uhnvst
he's tired,tuyawek,tuyawek,tuyawets,titsayaweki,tsuyawest
he's waking up,ayek,ayek,uyets,hiyeki,uyeist
he's taking it somewhere by hand,ahyek,ahyek,uhyvs,hihyuka,uhyvst
he's crossing it (a body of water),tekasohk,tekasohk,tuwasohts,thisohki,tsuwasohist
"he's yelling, howling, meowing, etc",uwehluhk,uwehluhk,uwehluhn,hehluhvka,uwehluhvst
it is sounding,unohyvhk,unohyvhk,unohyvls,tsanohyvla,unohyvhlist
"it's crowing, (rooster)",ayhk,ayhk,uyvls,hayvla,uyvhlist
it (forest or grass) is burning,kalik,kalik,ulits,,
he's quitting,asulikok,asulikok,usulikots,hisulikoi,usulikost
he's exiting,kanukok,kanukok,unukots,hinukoi,unukost
"it's accumulating, it's increasing",khanehkwok,khanehkwok,uhnehkwots,hihnehkwoki,uhnehkwoist
"it (animal, plant) is dying",kalihwok,kalihwok,ulihwots,hilihwoki,ulihwost
1. it's breaking  2. he's becoming spoiled,ayok,ayok,uyots,hiyoki,uyost
"he's accepting him, it",tatanilvk,tatanilvk,tutanilvts,thiyatanilvki,tsutanilvst
he's falling from an upright  position,kanvk,kanvk,unvts,hinvki,unvist
"he's blowing, he's blowing on it",atsothask,atsothask,utsothah,hatsotha,utsothast
he's buying it,uhwask,uhwask,uhwas,tshawahi,uhwahist
he's swallowing it,akhisk,akhisk,ukhis,hikhihi,ukhihist
it's swelling,kothisk,kothisk,uwothis,hothihi,uwothihist
he's getting a rash,tukwenothisk,tukwenothisk,tukwenothis,titsakwenothihi,tsukwenothist
he's planting it,ahwisk,ahwisk,uhwis,hihwi,uhwist
"it's (round, long) falling",kohosk,kohosk,uwohos,hohohi,uwohohist
he's piling it up,kahlusk,kahlusk,uwahlun,hihluka,uwahlust
"He is getting in a car, box, etc",atsavsk,atsavsk,utsan,hatsavka,
he's kissing her,athawetovsk,athawetovsk,uthaweton,hitawetovka,uthawetot
he's shaking a flexible object,khtsakvvsk,khtsakvvsk,uwhtsakvn,hiyvtsakvhya,uwhtsakvt
he's sending; taking it (flexible),wikanvvsk,wikanvvsk,wunvn,hwinvvka,wunvt
he's lying,athskovsk,athskovsk,uthskon,hathskovka,uthskot
"he's sprinkling it (with a liquid, powder, salt, etc.)",takhwayovsk,takhwayovsk,tukhwayon,thikhwayovka,tsukhwayot
he's hanging up a flexible object,katvvsk,katvvsk,utvn,hatvvka,utvt
He's putting it (flexible object) into a fire,khtvvsk,khtvvsk,uwhtvn,hvhtvvka,uwhtvt
it (wind) is blowing,kanolvvsk,kanolvvsk,unolvn,,unolvt
"he's attaching it (flexible), behind it",kasanenatvsk,kasanenatvsk,uwasanenatvn,hisanenatvka,uwasanenatvt
he's stepping on him/it,alastvsk,alastvsk,ulastvn,hiyalastvvka,ulastvt
he's becoming wise,akhthohvsk,akhthohvsk,ukhthohvs,hikhthovhi,ukhthovhist
1. he's closing it  2. he's jailing him,astuhvsk,astuhvsk,ustuhn,histuhvka,ustut
he's hitting him on the nose,ahyvsteluhvsk,ahyvsteluhvsk,uhyvsteluhn,hiyvsteluhvka,uhyvsteluht
"he's sending, taking it (animate)",wikakhahvsk,wikakhahvsk,wuwakhan,hwiyakhahvka,wuwakhoht
"he, it's burning",akohvsk,akohvsk,ukohn,hakohna,ukohvst
"he's sending, taking it (liquid)",wikanehvsk,wikanehvsk,wunehn,hwinehvka,wuneht
"1. he's asking him a question., 2. he's asking a question",athvtvhvsk,athvtvhvsk,uthvtvhn,hiyathvtvhvka,uthvtht
he's hiring him,kanahlvsk,kanahlvsk,unahlvn,hinahlvvka,unahlvt
he's sandwiching it,astvhahlvsk,astvhahlvsk,ustvhahlan,histvhahlvka,ustvhahlt
1. he's covering it 2. he's putting a lid on it,kuhlvsk,kuhlvsk,uwuhlvn,huhlvvka,uwuhlvt
"light a fire, match",atsislvsk,atsislvsk,utsislan,hitsislvka,utsislvst
"he, it's growing",athvsk,athvsk,uthvs,hathvhi,uthvhist
he's enduring it (idiom),tekethvsk,tekethvsk,tuwethin,thethvka,tsuwetht
"he's hiding him, it (flexible)",kvskalvsk,kvskalvsk,uwaskalvn,hiyvskalvvka,uwaskalvt
"1.  he's breaking a flexible object, 2. He's cutting a flexible object",akalsk,akalsk,ukals,hikala,ukalst
he's breaking a long object,askwalsk,askwalsk,uskwals,hiskwala,uskwalst
"he's pushing him, it",kasatosk,kasatosk,uwasatohy,hiyasatohya,uwasatost
he's falling from an elevated position,kalosk,kalosk,ulos,hilohi,ulohist
he's nodding his head,alskusk,alskusk,ulskuhy,halskuhya,ulskust
he's splitting it,tastlusk,tastlusk,tustluhy,thistluhya,tsustlust
he's setting a trap,asatvsk,asatvsk,usatvn,hisatvvka,usatvt
1. he's bending it  2. she's hemming it,ahyvhkwitvsk,ahyvhkwitvsk,uhyvhkwitvn,hihyvhkwitvvka,uhyvhkwitvt
"1. he's hitching him, it up 2. he's hooking it up 3. he's plugging it in",kutalvsk,kutalvsk,uwutalvn,hiyutalvvka,uwutalvt
he's scolding him,akvskolvsk,akvskolvsk,ukvskolvn,hikvskolvvka,ukvskolvt
he's blinking,takhthanawsk,takhthanawsk,tukhthanaws,thakhthanahwa,tsukhthanawst
it's flashing (reflected light),athoyawsk,athoyawsk,uthoyaws,,uthoyawst
he's getting well,utiwsk,utiwsk,utiws,tsatihwi,utihwist
he's sneezing,tuhyvstoysk,tuhyvstoysk,tuhyvstohy,titshayvstohya,tsuhyvstoyst
he's chopping it,kaluysk,kaluysk,uluhy,hiluhya,uluyst
he's chopping it up,akvhaluysk,akvhaluysk,ukvhaluhy,hikvhaluhya,ukvhaluyst
it's raining,akask,akask,ukahnan,,ukanht
he's drilling a hole,athalesk,athalesk,uthales,hithalaka,uthalest
he/it is going through it,akhthvlesk,akhthvlesk,ukhthvles,hikhthvlehi,ukhthvlehist
he's getting exhausted,tasthayesk,tasthayesk,tusthayes,thasthayehi,tsusthayehist
they are adjourning,taniyelisk,taniyelisk,tuniyelis,titsiyelihi,tsuniyelihist
"he's borrowing him, it",atholsk,atholsk,uthols,hiyathola,uthohlist
1. it's becoming done (by cooking) 2. it's ripening,kvnsk,kvnsk,uwans,hvhni,uwahnist
1. it's decaying  2. it's spoiling,ukosk,ukosk,ukos,tsakohi,ukohist
he's finding it out,atelohosk,atelohosk,utelohos,hatelohohi,utelohohist
he's confronted with it,tutlosk,tutlosk,tutlos,titsatlohi,tsutlohist
1. they are meeting 2. they are meeting someone,tanatlosk,tanatlosk,tunatlos,titsatlohi,tsunatlohist
"it (fire, light) is going out",khtlosk,khtlosk,uwhtlos,hvhtlohi,uwhtlohist
he's beating him at a game,ahlosk,ahlosk,uhlos,hihlohi,uhlohist
he's becoming enraged,uthahlawosk,uthahlawosk,uthahlawos,thsthahlawohi,uthahlawohist
it's getting warm,akanawosk,akanawosk,ukanawos,,ukanawohist
1. he's becoming warm  2. he's warming himself,ukanawosk,ukanawosk,ukanawos,tsakanawohi,ukanawohist
it's melting,kvnawosk,kvnawosk,uwanawos,hvnawohi,uwanawohist
"he's dying, (human)",ayohusk,ayohusk,uyohus,hiyohuhi,uyohuhist
he's ascending an incline,khanalusk,khanalusk,uhnalus,hihnaluhi,uhnaluhist
it's shattering,ahlkhotvsk,ahlkhotvsk,uhlkhotvhn,,
he's acting like him,atselvsk,atselvsk,utselvhn,hatselvna,utsehlt
it's blooming,atsilvsk,atsilvsk,utsilvhn,,utsihlt
he's making it,kohlvsk,kohlvsk,uwohlvhn,hohlvna,uwohlvnht
"he's sleepy, he's going to sleep",kahlvsk,kahlvsk,uhlvhn,hihlvna,uhlvnht
he's dressing up,atsanvsk,atsanvsk,utsanvhn,hatsanvna,utsanvht
"he's wrapping him, it",kakhwenvsk,kakhwenvsk,uwakhwenvhn,hiyakhwenvna,uwakhwenvht
"he's wounding him, it",asonvsk,asonvsk,usonvhn,hisonvna,usonvst
he's burning,kaleyvsk,kaleyvsk,uleyvs,hileyvhi,uleyvhist
he's forgetting,uwakhewsk,uwakhewsk,uwakhews,witsvkhewa,uwakhehwist
he's sewing it,kayewsk,kayewsk,uwayews,hiyewa,uwayewst
he's getting off,atloysk,atloysk,utloys,hatlohi,utlohist
he's drinking it,atithask,atithask,utithah,hatitha,utithast
"he's catching up with him, it",atlvthask,atlvthask,utlvthah,hiyatlvtha,utlvthast
he's coughing,usihwask,usihwask,usihwah,thsihwahi,usihwahist
it's barking,tasuhwisk,tasuhwisk,tusuhwis,thasuhwa,tsusuhwist
he's painting it,asuhwisk,asuhwisk,usuhwis,hisuhwa,usuhwist
it (a flexible object) is falling from a hanging position,katosk,katosk,utos,hatohi,utohist
he's frolicking,ahnetsosk,ahnetsosk,uhnetson,hahnetsovka,uhnetsot
he's going down hill,akhsosk,akhsosk,ukhsos,hikhsohi,ukhsohist
he's releasing him,tayosk,tayosk,tuyos,thiyohi,tsuyohist
"He's releasing it, (voluntarily)",tuyosk,tuyosk,tuyos,titsayohi,tsuyohist
he's giving up,tatayosk,tatayosk,tutayos,thatayohi,tsutayohist
he's squatting,tatsihlusk,tatsihlusk,tutsihlun,thatsihluka,tsutsihlust
he's taking a seat,alstvhlusk,alstvhlusk,ulstvhlun,halstvhluka,ulstvhlust
he's setting it down,ahvsk,ahvsk,uhn,hihvka,uht
he's placing it on something,ahlahvsk,ahlahvsk,uhlahvska,hihlahvka,uhloht
he's sending it (solid),wahvsk,wahvsk,wuhn,hwihvka,wuht
"he, it's howling, screaming, yelling, etc",kehluhvsk,kehluhvsk,uwehluhn,hehluhvka,uwehluhvst
"1. he, it's using it up 2. he's drinking, eating it up",asvhvsk,asvhvsk,usvhn,hisvhna,usvhvst
he's being born,atehvsk,atehvsk,utehn,hatehvka,uteht
he's standing in a certain spot,alehvsk,alehvsk,ulehn,halehvka,uleht
he's getting up (from sitting or from involuntarily assumed prone position),talehvsk,talehvsk,tulehn,thalehvka,tsuleht
1. they are getting together  2. they are dating  (when the dual form is used),analikohvsk,analikohvsk,unalikohn,itsalikohvka,unalikht
he's baking it,katuhvsk,katuhvsk,uwatuhn,hituhvka,uwatht
he's putting it in water,kuhvsk,kuhvsk,uwuhn,huhvka,uwuht
he's hitting him on the eye,akhtheluhvsk,akhtheluhvsk,ukhtheluhn,hikatheluhvka,ukhtheluht
"he's shaking him, it",athelvhvsk,athelvhvsk,uthelvhn,hithelvna,uthehlt
"he, it's moving (without changing location)",ahlthelvhvsk,ahlthelvhvsk,uhlthelvhn,hahlthelvhvka,uhlthehlt
he's shopping,atananesvhvsk,atananesvhvsk,utananesvhn,hatananesvhvka,utananesvhvst
he's eating a meal,alstayvhvsk,alstayvhvsk,ulstayvhn,halstayvhvka,ulstayht
"he, it's destroying it",ayosthanohvsk,ayosthanohvsk,uyosthanohn,hiyosthanohna,uyosthanohvst
he's preaching,ahltsatohvsk,ahltsatohvsk,uhltsatohn,hahltsatohvka,uhltsatht
he's playing,tanelohvsk,tanelohvsk,tunelohn,thanelohvka,tsunehlt
he's teaching,tateyohvsk,tatehyohvsk,tuteyohn,thatehyohvka,tsutehyoht
he's fishing,asuhvsk,asuhvsk,usuhn,hasuhvka,usuht
it's (the ground) becoming frosty,ahyahthvhvsk,ahyahthvhvsk,uhyahthvhn,,uhyahthvtht
he's putting it in a hole or a container,kahlvsk,kahlvsk,uhlan,hihlvka,uhlt
he's hiding it,kvskahlvsk,kvskahlvsk,uwaskahlan,hvskahlvka,uwaskahlt
he's hiding,atiskahlvsk,atiskahlvsk,utiskahlan,hatiskahlvka,utiskahlt
he's putting a handle on a tool,kuhahlvsk,kuhahlvsk,uwuhahlan,huhahlvka,uwuhahlt
1. he's advertising it  2. he's announcing it,tekanotsahlvsk,tekanotsahlvsk,tunotsahlan,thinotsahlvka,tsunotsahlt
he's frying it,kvtsahlvsk,kvtsahlvsk,uwvtsahlan,hvtsahlvka,uwvtsahlt
he's contaminating it (with visible foreign matter),khanesahlvsk,khanesahlvsk,uhnesahlan,hihnesahlvka,uhnesahlt
he's soaking it (flexible object),kvwahlvsk,kvwahlvsk,uwvwahlan,hvwahlvka,uwvwahlt
he's linking it,khihlvsk,khihlvsk,uhwihlan,hvhihlvka,uhwihlt
he's collecting from him,khanihlvsk,khanihlvsk,uhnihlan,hinihlvka,uhnihlt
