verb,present,imperfective,perfective,imperative,infinitive
he's looking around,akhthenoh,akhthenoh,ukhthenol,hikhthenaka,ukhthenast
he's looking at him/it,akhthost,akhthostisk,ukhthosthan,hiyakathosta,ukhthostoht
he's looking for him,ahyoh,ahyoh,uhyal,hiyhka,uyst
he's looking for it (inanimate),uhyoh,uhyoh,uhyal,tsayhka,uyst
he's making it,kohlvsk,kohlvsk,uwohlvhn,hohlvna,uwohlvnht
"he's missing him, it",kanvti,kanvtisk,unvt,hinvta,unvtist
he's mooring a boat,athalati,athalatisk,uthalat,hithalata,uthalatist
he's nodding his head,alskusk,alskusk,ulskuhy,halskuhya,ulskust
"he's omitting him, it",khanohiyah,khanohiyask,uhnohiy,hinohiya,uhnohiyast
he's pecking it,kakwayohih,kakwayohih,uwakwayohl,hiyakwayoa,uwakwayost
"he's placing his hand on him, it",asihthati,asihthatisk,usihthat,hiyasihthata,usihthatist
he's placing it on something,ahlahvsk,ahlahvsk,uhlahvska,hihlahvka,uhloht
he's pouring liquid from a container,atli,atlisk,utl,hitlika,utlist
"he's pushing him, it",kasatosk,kasatosk,uwasatohy,hiyasatohya,uwasatost
he's putting a long object in a container,kalati,kalatisk,ulat,hilata,ulatist
he's putting a long object in liquid,ahuti,ahutisk,uhut,hihuta,uhutist
he's putting his hat on,alskwethuhvk,alskwethuhvsk,ulskwethuhn,halskwethuhvka,ulskwethust
"he's putting out a fire, a light",khtlatih,khtlatisk,uwhtlat,hvhtlata,uwhtlatist
he's quitting,asulikok,asulikok,usulikots,hisulikoi,usulikost
he's receiving punishment,ustvti,ustvtisk,ustvt,thstvta,ustvtist
he's recuperating,talehisih,talehisisk,tulehisahn,thalehisa,tsulehisoht
"he's remembering him, it",anhtati,anhtatisk,unhtat,hiyanvtata,unhtatist
he's reprimanding him,askak,askak,uskats,hiskaki,uskast
"he's roping him, it",aslati,aslatisk,uslat,hislata,uslatist
"he's rowing, paddling",kakawesk,kakawesk,uwakawes,hikawehi,uwakawest
he's saying it,atih,atisk,utvhn,hata,utht
he's scattering it,atikaleya,atikaleyask,utikaley,hatikaleya,utikaleyast
he's selling it,kanatek,kanatek,unatinvs,hinatuka,unatinvt
he's sending a long object,wati,watisk,wut,hwita,wutist
he's setting up a bed,kanihlati,kanihlatisk,unihlat,hinihlata,unihlatist
he's shaking a flexible object,khtsakvvsk,khtsakvvsk,uwhtsakvn,hiyvtsakvhya,uwhtsakvt
"he's shaking him, it",athelvhvsk,athelvhvsk,uthelvhn,hithelvna,uthehlt
he's shaking his head,alstvhnih,alstvhnih,ulstvhnil,halstvnhka,ulstvnht
he's shivering,uwanawi,uwanawisk,uwanaw,tsanawa,uwanawist
"he's shooting him, it",ayohih,ayohih,uyohl,hiyoa,uyost
"he's sleepy, he's going to sleep",kahlvsk,kahlvsk,uhlvhn,hihlvna,uhlvnht
he's smoking it,kokhsk,kokhsk,uwokhs,hoki,uwokhst
he's sneezing,tuhyvstoysk,tuhyvstoysk,tuhyvstohy,titshayvstohya,tsuhyvstoyst
he's sopping it,asu,asusk,usus,hasutsa,usust
he's spitting,altsikhwsk,altsikhwsk,ultsikw,haltsikhwa,ultsikhwst
he's splitting it,tastlusk,tastlusk,tustluhy,thistluhya,tsustlust
he's sprinkling it (with a liquid),tastutli,tastutlisk,tustutl,thistutla,tsustutlist
he's squatting,tatsihlusk,tatsihlusk,tutsihlun,thatsihluka,tsutsihlust
he's stinging it,katsvysk,katsvysk,uwatsvhy,hiyatsvhya,uwatsvyst
he's straightening it,katshinosih,katshinosisk,uwatshinosahn,hitshinosa,uwatshinosoht
he's sweeping it,kvnosask,kvnosask,uwanosah,hvnosa,uwanosast
he's taking a seat,alstvhlusk,alstvhlusk,ulstvhlun,halstvhluka,ulstvhlust
he's telling it,khanoheh,khanohesk,uhnohehl,hihnohvla,uhnoheht
he's thinking,atanhtheh,atanhthesk,utanhthehl,hatanhthvla,utanhtheht
he's tired,tuyawek,tuyawek,tuyawets,titsayaweki,tsuyawest
"he's trimming it, (boy's hair, grass, hedge, but not paper, cloth)",astoyeh,astoyesk,ustoyeh,histoya,ustoyht
"he's tromping on him/it,   he's speaking badly of him",alastaeh,alastaesk,ulastaehl,hiyalastavla,ulastaeht
"he's turning, it over",tekhalihkwatek,tekhalihkwatek,tuhlihkwatinvs,thilihkwatuka,tsuhlihkwatinvt
"he's twisting him, it",kanutheyoh,kanutheyoh,unetheyol,hinutheyaka,unutheyast
"he's tying him, it up",kahlvih,kahlvih,uhlvl,hiyalvtsa,uhlvst
he's waiting for him/it,akhthiy,akhthiy,ukhthit,hikathita,ukhthitist
he's washing his hair,alstuleh,alstulesk,ulstuleh,halstula,ulstuhlt
he's wearing shoes,tulasuhl,tulasuhl,tulasuhl,tetsalasuhlesti,
he's weeping,tatlohyih,tatlohyih,tutlohyil,tsutloysti,thatloyhka
he's whistling,kasvnhk,kasvnhk,uwasvnhts,hisvnhki,uwasvnst
"he's wounding him, it",asonvsk,asonvsk,usonvhn,hisonvna,usonvst
"he's wrapping him, it",kakhwenvsk,kakhwenvsk,uwakhwenvhn,hiyakhwenvna,uwakhwenvht
"he's yelling, howling, meowing, etc",uwehluhk,uwehluhk,uwehluhn,hehluhvka,uwehluhvst
"he, it's burning",akohvsk,akohvsk,ukohn,hakohna,ukohvst
"he, it's destroying it",ayosthanohvsk,ayosthanohvsk,uyosthanohn,hiyosthanohna,uyosthanohvst
"he, it's spinning, rotating",atikwalvteyoh,atikwalvteyoh,utikwalvteyol,hatikwalvteyaka,utikwalvteyst
"it (animal, plant) is dying",kalihwok,kalihwok,ulihwots,hilihwoki,ulihwost
it (forest or grass) is burning,kalik,kalik,ulits,,
it (weather) is cold,uhyvtl,uhyvtl,uhyvtl,,
it (wind) is blowing,kanolvvsk,kanolvvsk,unolvn,,unolvt
it is sounding,unohyvhk,unohyvhk,unohyvls,tsanohyvla,unohyvhlist
it's (sun or moon) shining,akalih,akalisk,ukalis,,ukalihist
it's (the ground) becoming frosty,ahyahthvhvsk,ahyahthvhvsk,uhyahthvhn,,uhyahthvtht
it's becoming crisp,astakayvhih,astakayvhih,ustakayvhl,,
it's beginning,atalenih,atalenisk,utalenvh,,utalenht
it's bending,ahliyvhkwitvsk,ahliyvhkwitvsk,uhliyvhkwitvn,,uhliyvhkwitvt
it's blooming,atsilvsk,atsilvsk,utsilvhn,,utsihlt
it's boiling,alitlih,alitlisk,ulitlvh,,ulihlt
it's bouncing,atatek,atatek,utatinvs,hatatuka,utatinvt
it's burning (flames),atawelaki,atawelakisk,utawelak,hatawelaka,utawelakist
"it's crowing, (rooster)",ayhk,ayhk,uyvls,hayvla,uyvhlist
it's dripping,kaskwoih,kaskwoih,uwaskwol,,uwaskwoist
it's ending,alskwati,alskwatisk,ulskwat,,ulskwatist
it's fading,askolvk,askolvk,uskolvts,,uskolvyst
it's flashing (reflected light),athoyawsk,athoyawsk,uthoyaws,,uthoyawst
it's flooding,kanohuki,kanohukisk,unohukan,,unohukot
it's freezing,kanestalati,kanestalatisk,unestalat,hinestalata,unestalatist
it's getting warm,akanawosk,akanawosk,ukanawos,,ukanawohist
it's leaking,kvkusk,kvkusk,uwakus,,uwakust
it's lightning,anakalih,anakalisk,unakalvh,,
it's misting,khanuyolati,khanuyolatisk,uhnuyolat,,uhnuyolatist
it's raining,akask,akask,ukahnan,,ukanht
it's rattling,utsonath,utsonath,utsonath,hatsonathvka,utsonatht
it's scattering,atikaleyok,atikaleyok,utikaleyots,,utikaleyoyst
it's shattering,ahlkhotvsk,ahlkhotvsk,uhlkhotvhn,,
it's snowing,kuthih,kuthisk,uwuthahn,,uwuthoht
it's thundering,ahyvtakwalo,ahyvtakwalosk,uhyvtakwalo,,uhyvtakwalost
it's twisting,atanutheyoh,atanutheyoh,utanutheyol,hatanutheyaka,utanutheyot
its taking time,ahliilitoh,ahliilitoh,uhliilitol,,uhliilitast
there's an opening,utlanvt,utlanvt,utlanvt,,
they are gathering,anatahlisih,anatahlisisk,unatahlisahn,itsatahlisa,unatahlisoht
