definition,assigned_class,is_consistent,mismatch_details,root_present,root_imperfective,root_perfective,root_imperative,root_infinitive
he's having a nightmare,Ia,True,,ahlik,ahlik,ahlik,ahlik,ahlik
he's snoring,Ia,True,,khwalak,khwalak,khwalak,khwalak,khwalak
he's thirsty,Vc*,True,,thatek,thatek,thatek,thatek,thatek
1. he's getting some liquid  2. he's picking up some liquid,Ia,True,,nek,nek,nek,nek,nek
he's taking his hat off,Ia,True,,alskwethuhk,alskwethuhk,alskwethuhk,alskwethuhk,alskwethuhk
he's hoeing it,Vc*,True,,lok,lok,lok,lok,lok
he's singing,Ia,True,,hnok,hnok,hnok,hnok,hnok
"he hears him, it",Vc*,True,,athvk,athvk,athvk,athvk,athvk
he's dancing,Ia,True,,alsk,alsk,alsk,alsk,alsk
it's exploding,Ia,True,,athask,athask,athask,athask,athask
he's stealing it,Ia,True,,nosk,nosk,nosk,nosk,nosk
he's taking his ring off,Ia,True,,aliyesusthk,aliyesusthk,aliyesusthk,aliyesusthk,aliyesusthk
"he's shelling, picking out (peas, nut meats, etc.)",Ia,True,,vthoh,vthoh,vthoh,vthoh,vthoh
he's writing it,Vc*,True,,ohwel,ohwel,ohwel,ohwel,ohwel
"he's running away, he's escaping",Ia,True,,alith,alith,alith,alith,alith
he's crushing it,Ib,True,,st,st,st,st,st
he's hammering it,Ib,True,,nvkwal,nvkwal,nvkwal,nvkwal,nvkwal
stubbing his toe,Ib,True,,hnaskwal,hnaskwal,hnaskwal,hnaskwal,hnaskwal
he's cracking it,Ib,True,,vskwal,vskwal,vskwal,vskwal,vskwal
he's washing it,Ib,True,,uhil,uhil,uhil,uhil,uhil
he's measuring it,Ib,True,,ahlil,ahlil,ahlil,ahlil,ahlil
1. he's bathing  2. he's swimming,Ib,True,,ataw,ataw,ataw,ataw,ataw
1. he's bathing him 2. he's baptizing him,Ib,True,,aw,aw,aw,aw,aw
he's putting on a shirt,Ib,True,,ahnaw,ahnaw,ahnaw,ahnaw,ahnaw
he's putting on clothes,Ib,True,,ahnaw,ahnaw,ahnaw,ahnaw,ahnaw
he's combing someone's hair,Ib,True,,thaw,thaw,thaw,thaw,thaw
he's combing his hair,Ib,True,,alhthaw,alhthaw,alhthaw,alhthaw,alhthaw
he's performing a baptism,Ib,True,,ataw,ataw,ataw,ataw,ataw
"he's accumulating it, he's increasing it",Ib,True,,hnehkw,hnehkw,hnehkw,hnehkw,hnehkw
he's washing his face,Ib,True,,akvskw,akvskw,akvskw,akvskw,akvskw
he's moving it from one place to another,Ic*,True,,h,h,h,h,h
1. he's turning back 2. he's turning (his head or body),Ic*,True,,akhthah,akhthah,akhthah,akhthah,akhthah
he's changing shoes,Ic*,True,,alasulaiy,alasulaiy,alasulaiy,alasulaiy,alasulaiy
he's changing his pants,Ic*,True,,asulaiy,asulaiy,asulaiy,asulaiy,asulaiy
he's changing his shirt,Ic*,True,,ahnawaiy,ahnawaiy,ahnawaiy,ahnawaiy,ahnawaiy
he's changing clothes,Ic*,True,,ahnawaiy,ahnawaiy,ahnawaiy,ahnawaiy,ahnawaiy
he's climbing it,Xa1*,True,,l,l,l,l,l
"he's chasing him, it",Xa1*,True,,kheh,kheh,kheh,kheh,kheh
he's not having any luck hunting,Xa1*,True,,khwol,khwol,khwol,khwol,khwol
he's leading him by the hand,Xa1*,True,,ohin,ohin,ohin,oin,ohin
he's carrying a long object on his shoulder,Xa1*,True,,ahnohlin,ahnohlin,ahnohlin,ahnohlin,ahnohlin
1. he's throwing it 2. he's pitching (ball),Xa2*,True,,t,t,t,t,t
it's bouncing,Xa2*,True,,atat,atat,atat,atat,atat
he's selling it,Xa2*,True,,nat,nat,nat,nat,nat
he's jumping,Xa2*,True,,alhthat,alhthat,alhthat,alhthat,alhthat
"he's following him, it",Xa1*,True,,stawat,stawat,stawat,stawat,stawat
"he's turning, it over",Xa2*,True,,hlihkwat,hlihkwat,hlihkwat,lihkwat,hlihkwat
he's taking a liquid somewhere by hand,Xa1*,True,,nhts,nhts,nhts,nhts,nhts
he's taking a long object somewhere by hand,Xa1*,True,,n,n,n,n,n
he's swimming (propelling himself through water),Xa1*,True,,ahyuin,ahyuin,ahyuin,ahyuin,ahyuin
he's backing up,Xa1*,True,,asin,asin,asin,asin,asin
he's taking a flexible object somewhere by hand,Xa1*,True,,hn,hn,hn,hn,hn
he's taking it somewhere by hand,Xa1*,True,,hy,hy,hy,hy,hy
it (forest or grass) is burning,VIIIa,True,,li,li,li,,
he's buying it,IIIc1,True,,hwa,hwa,hwa,hwa,hwa
he's getting a rash,IIIc2,True,,kwenothi,kwenothi,kwenothi,kwenothi,kwenothi
"it's (round, long) falling",IIIc1,True,,oho,oho,oho,oho,oho
"He is getting in a car, box, etc",IIIa1,True,,atsav,atsav,atsa,atsav,
he's sending; taking it (flexible),IIIa1,True,,nvv,nvv,nv,nvv,nv
he's lying,IIIa1,True,,atskov,atskov,atsko,atskov,atsko
"he's sprinkling it (with a liquid, powder, salt, etc.)",IIIa1,True,,khwayov,khwayov,khwayo,khwayov,khwayo
it (wind) is blowing,IIIa1,True,,nolvv,nolvv,nolv,,nolv
"he's attaching it (flexible), behind it",IIIa1*,True,,sanenat,sanenat,sanenat,sanenat,sanenat
he's stepping on him/it,IIIa1**,True,,alast,alast,alast,alast,alast
he's hitting him on the nose,IIIa1,True,,hyvsteluhv,hyvsteluhv,hyvsteluh,yvsteluhv,hyvsteluh
he's hitting him on the nose,IIIa2,True,,hyvstelu,hyvstelu,hyvstelu,yvstelu,hyvstelu
"he's sending, taking it (liquid)",IIIa1,True,,nehv,nehv,neh,nehv,neh
he's hiring him,IIIa1**,True,,nahl,nahl,nahl,nahl,nahl
1. he's covering it 2. he's putting a lid on it,IIIa1**,True,,uhl,uhl,uhl,uhl,uhl
"he, it's growing",IIIc1*,True,,athv,athv,athv,athv,athv
"he's hiding him, it (flexible)",IIIa1**,True,,vskal,vskal,vskal,vskal,vskal
"1.  he's breaking a flexible object, 2. He's cutting a flexible object",IIId*,True,,kal,kal,kal,kal,kal
he's breaking a long object,IIId*,True,,skwal,skwal,skwal,skwal,skwal
he's falling from an elevated position,IIIc1,True,,lo,lo,lo,lo,lo
he's setting a trap,IIIa1**,True,,sat,sat,sat,sat,sat
1. he's bending it  2. she's hemming it,IIIa1**,True,,hyvhkwit,hyvhkwit,hyvhkwit,hyvhkwit,hyvhkwit
"1. he's hitching him, it up 2. he's hooking it up 3. he's plugging it in",IIIa1**,True,,utal,utal,utal,utal,utal
he's scolding him,IIIa1**,True,,kvskol,kvskol,kvskol,kvskol,kvskol
it's flashing (reflected light),IIId*,True,,thoyaw,thoyaw,thoyaw,,thoyaw
he/it is going through it,IIIc1*,True,,khthvle,khthvle,khthvle,khthvle,khthvle
he's getting exhausted,IIIc1*,True,,asthaye,asthaye,asthaye,asthaye,asthaye
1. it's decaying  2. it's spoiling,IIIc1,True,,ko,ko,ko,ko,ko
he's finding it out,IIIc1,True,,ateloho,ateloho,ateloho,ateloho,ateloho
he's confronted with it,IIIc1,True,,tlo,tlo,tlo,tlo,tlo
he's beating him at a game,IIIc1,True,,hlo,hlo,hlo,hlo,hlo
he's becoming enraged,IIIc1,True,,thahlawo,thahlawo,thahlawo,thahlawo,thahlawo
it's getting warm,IIIc1,True,,kanawo,kanawo,kanawo,,kanawo
1. he's becoming warm  2. he's warming himself,IIIc1,True,,kanawo,kanawo,kanawo,kanawo,kanawo
it's melting,IIIc1,True,,vnawo,vnawo,vnawo,vnawo,vnawo
"he's dying, (human)",IIIc1,True,,yohu,yohu,yohu,yohu,yohu
he's ascending an incline,IIIc1,True,,hnalu,hnalu,hnalu,hnalu,hnalu
he's burning,IIIc1*,True,,leyv,leyv,leyv,leyv,leyv
he's sewing it,IIId*,True,,yew,yew,yew,yew,yew
it (a flexible object) is falling from a hanging position,IIIc1,True,,ato,ato,ato,ato,ato
he's going down hill,IIIc1,True,,khso,khso,khso,khso,khso
he's releasing him,IIIc1,True,,yo,yo,yo,yo,yo
"He's releasing it, (voluntarily)",IIIc1,True,,yo,yo,yo,yo,yo
he's giving up,IIIc1,True,,atayo,atayo,atayo,atayo,atayo
he's setting it down,IIIa1,True,,hv,hv,h,hv,h
he's sending it (solid),IIIa1,True,,hv,hv,h,hv,h
he's being born,IIIa1,True,,atehv,atehv,ateh,atehv,ateh
he's standing in a certain spot,IIIa1,True,,alehv,alehv,aleh,alehv,aleh
he's getting up (from sitting or from involuntarily assumed prone position),IIIa1,True,,alehv,alehv,aleh,alehv,aleh
he's putting it in water,IIIa1,True,,uhv,uhv,uh,uhv,uh
he's putting it in water,IIIa2,True,,u,u,u,u,u
he's fishing,IIIa1,True,,asuhv,asuhv,asuh,asuhv,asuh
he's fishing,IIIa2,True,,asu,asu,asu,asu,asu
he's getting full,IIIc1*,True,,ohlv,ohlv,ohlv,ohlv,ohlv
he's hanging it up,IIIa2*,True,,ath,ath,ath,ath,ath
he's putting it into a fire,IIIa2*,True,,vth,vth,vth,vth,vth
He's putting fuel (solid) into a fire,IIIa2*,True,,hvth,hvth,hvth,hvth,hvth
he's putting on glasses,IIIa2*,True,,akhthinvth,akhthinvth,akhthinvth,akhthinvth,akhthinvth
he's piling it up,IIIa2*,True,,svth,svth,svth,svth,svth
he's building a fire,IIIa2*,True,,oth,oth,oth,oth,oth
he's mixing it in,IIIa1**,True,,asuy,asuy,asuy,asuy,asuy
he's amazed,IIIc1,True,,skwaniko,skwaniko,skwaniko,skwaniko,skwaniko
he's embarrassed,IIIc1,True,,ateho,ateho,ateho,ateho,ateho
it's leaking,IIId*,True,,vku,vku,vku,,vku
a long object is falling from an upright position,IIIc1*,True,,leyv,leyv,leyv,leyv,leyv
he's putting a flexible object in a hole or in a container,IIIa1**,True,,l,l,l,l,l
it's bending,IIIa1*,True,,hliyvhkwit,hliyvhkwit,hliyvhkwit,,hliyvhkwit
it's bending,IIIa1**,True,,hliyvhkwit,hliyvhkwit,hliyvhkwit,,hliyvhkwit
he's yawning,IIb*,True,,hahlok,hahlok,hahlok,hahlok,hahlok
he's building a house,IIb*,True,,ahnesk,ahnesk,ahnesk,ahnesk,ahnesk
he's working,XIa*,True,,lvhwistan,lvhwistan,lvhwistan,lvhwista,lvhwistan
1. he's lonesome  2. he's homesick,XIa*,True,,hisohtan,hisohtan,hisohtan,hisohta,
1. he's agreeing with him 2. he's vouching for him,XIa*,True,,ohiyhtan,ohiyhtan,ohiyhtan,oiyhta,ohiyhtan
"he's aching, hurting",XIa*,True,,ehistan,ehistan,ehistan,ehista,ehistan
he's giving him a flexible object,XIa*,True,,nvn,nvn,nvn,nv,nvn
"he's fanning him, it",IIb*,True,,hnoy,hnoy,hnoy,noy,hnoy
he's fanning himself,IIb*,True,,atahnoy,atahnoy,atahnoy,atahnoy,atahnoy
he's stirring it,IIb*,True,,asuy,asuy,asuy,asuy,asuy
he's riding it (anything that can be straddled),IVa,True,,akhilvt,akhilvt,akhilvt,akhilvt,akhilvt
"he's running over him, it",IVa,True,,atinvt,atinvt,atinvt,atinvt,atinvt
he's bouncing it,IVa,True,,atatinvt,atatinvt,atatinvt,atatinvt,atatinvt
he's making him fall from an elevated psition,IVa,True,,lonht,lonht,lonht,lonht,lonht
"he's interpreting, translating it",IVa,True,,ahnelht,ahnelht,ahnelht,ahnelht,ahnelht
he's taking turns with him,IVa,True,,atanetliyvst,atanetliyvst,atanetliyvst,atanetliyvst,atanetliyvst
he's waking him up,IVa,True,,yeist,yeist,yeist,yeist,yeist
"he's listening to it, him",IVa,True,,athvtast,athvtast,athvtast,athvtast,athvtast
1. He's bluffing him. 2. he's deceiving him 3. he's tricking him,IVa,True,,lonast,lonast,lonast,lonast,lonast
he's winking,IVa,True,,akhthast,akhthast,akhthast,akhthast,akhthast
he's closing his eyes,IVa,True,,akhthast,akhthast,akhthast,akhthast,akhthast
he has a chill,IVa,True,,hnawast,hnawast,hnawast,hnawast,hnawast
he's wringing it out,IVa,True,,tsvwast,tsvwast,tsvwast,tsvwast,tsvwast
he's stretching,IVa,True,,atahyast,atahyast,atahyast,atahyast,atahyast
he's starting it,IVa,True,,ahnikist,ahnikist,ahnikist,ahnikist,ahnikist
he's praying,IVa,True,,atatolist,atatolist,atatolist,atatolist,atatolist
he's pouring liquid into a container,IVa,True,,tlist,tlist,tlist,tlist,tlist
"he's slamming him, it",IVa,True,,lvtvnist,lvtvnist,lvtvnist,lvtvnist,lvtvnist
he's embarrassing him,IVa,True,,atehohist,atehohist,atehohist,ateohist,atehohist
he's turning it,IVa,True,,teyst,teyst,teyst,teyst,teyst
he's spinning it,IVa,True,,tikwalvteyst,tikwalvteyst,tikwalvteyst,tikwalvteyst,tikwalvteyst
"he's releasing it, (involuntarily)",IVa,True,,skalest,skalest,skalest,skalest,skalest
"he's smothering him, it",IVa,True,,hawost,hawost,hawost,awost,hawost
"he's smothering, suffocating",IVa,True,,hawost,hawost,hawost,hawost,hawost
he's holding his breath,IVa,True,,athahwost,athahwost,athahwost,athahwost,athahwost
"1. he's breaking it., 2. he's spoiling him",IVa,True,,yost,yost,yost,yost,yost
he's making him angry,IVa,True,,hnalvst,hnalvst,hnalvst,nalvst,hnalvst
he's vomiting,IVa,True,,khst,khst,khst,khst,khst
"he's handling it, he has it in his hand",IXa,True,,hit,hit,hit,hit,hit
he's visiting him,IXa,True,,hwahthvhit,hwahthvhit,hwahthvhit,wahthvhit,hwahthvhit
he's visiting,IXa,True,,atahwahthvhit,atahwahthvhit,atahwahthvhit,atahwahthvhit,atahwahthvhit
he's handling some liquid,IXa,True,,nhtsit,nhtsit,nhtsit,nhtsit,nhtsit
he's hunting,IXa,True,,nohalit,nohalit,nohalit,nohalit,nohalit
its taking time,IXa,True,,hliilit,hliilit,hliilit,,hliilit
he's handling a flexible object,IXa,True,,hnit,hnit,hnit,hnit,hnit
"1. he's taking liquid from him, it  2. he's milking it (when used with unvdi)",XIb*,True,,neki,neki,neki,neki,neki
he's disbelieving,XIb*,True,,tlasithv,tlasithv,tlasithv,tlasithv,tlasithv
he's paying him,XIb*,True,,akhwiyv,akhwiyv,akhwiyv,akwiyv,akhwiyv
he's moaning,IVa,True,,liyet,liyet,liyet,liyet,liyet
he's making a mistake,IVa,True,,litast,litast,litast,litast,litast
"he, it's rocking",IIb*,True,,ahlihk,ahlihk,ahlihk,ahlihk,ahlihk
he's telling it,IIc*,True,,hnoh,hnoh,hnoh,hnoh,hnoh
he's conversing,IIc*,True,,ahlinoh,ahlinoh,ahlinoh,ahlinoh,ahlinoh
he's saying to him,XIa*,True,,os,os,os,o,os
he's losing it,XIa*,True,,yohus,yohus,yohus,yohu,yohus
he's thinking,IIc*,True,,atanhth,atanhth,atanhth,atanhth,atanhth
he's prying it,IVb,True,,hnekwat,hnekwat,hnekwat,hnekwat,hnekwat
he's placing a long object in an upright position,IVa,True,,aleht,aleht,aleht,aleht,aleht
1. he's helping him up 2. he's standing it up (object with legs),IVa,True,,aleht,aleht,aleht,alet,aleht
"he's making it (round, long) fall",IVa,True,,ohonht,ohonht,ohonht,ohonht,ohonht
he's showing it to him,IVa,True,,kowhthvht,kowhthvht,kowhthvht,kowhthvht,kowhthvht
he's melting it,IVa,True,,vnawht,vnawht,vnawht,vnawht,vnawht
he's warming it,IVa,True,,kanawht,kanawht,kanawht,kanawht,kanawht
1. he's making it crisp  2. he's starching it,IVa,True,,stakayht,stakayht,stakayht,stakayht,stakayht
he's rising from a prone position,IVb,True,,atit,atit,atit,atit,atit
"he's taking off flying, its flying away",IVb,True,,ahlawit,ahlawit,ahlawit,ahlawit,ahlawit
"he's taking it (animal, flexible object) somewhere",IVb,True,,nawit,nawit,nawit,nawit,nawit
he's taking some liquid somewhere,IVb,True,,nehwit,nehwit,nehwit,nehwit,nehwit
he's taking a long object somewhere,IVb,True,,yvhwit,yvhwit,yvhwit,yvhwit,yvhwit
he's putting it into a container,IVa,True,,lht,lht,lht,lht,lht
he's setting a price,IVa,True,,kvwalht,kvwalht,kvwalht,kvwalht,kvwalht
he's attempting it,IVa,True,,anelht,anelht,anelht,anelht,anelht
"he's playing with him, it",IVa,True,,anelht,anelht,anelht,anelht,anelht
he's lecturing him,IVa,True,,wonht,wonht,wonht,wonht,wonht
he's putting it on,IVa,True,,vnht,vnht,vnht,vnht,vnht
he's stopping him/it,IVa,True,,alehwistoht,alehwistoht,alehwistoht,alewistoht,alehwistoht
"he is dropping him, it (flexible)",IVa,True,,atonht,atonht,atonht,atonht,atonht
he's staggering,IVa,True,,tokht,tokht,tokht,tokht,tokht
he's deciding,IVa,True,,ukht,ukht,ukht,ukht,ukht
he's snorting,IVa,True,,ahliyvsanawst,ahliyvsanawst,ahliyvsanawst,ahliyvsanawst,ahliyvsanawst
"he's including him, it (in counting)",IVa,True,,asest,asest,asest,asest,asest
he's promising,IVa,True,,thuist,thuist,thuist,thuist,thuist
1. he's preparing it.  2. he's getting ready,IVa,True,,atvnvist,atvnvist,atvnvist,atvnvist,atvnvist
"1. he's raising him, it., 2. he's growing it., (plant)",IVa,True,,athvhist,athvhist,athvhist,atvhist,athvhist
he's stopping by (on his way somewhere),IVa,True,,lohist,lohist,lohist,lohist,lohist
he's taking a break,IVa,True,,yohist,yohist,yohist,yohist,yohist
"he, it's making noise",IVa,True,,atanohyvhlist,atanohyvhlist,atanohyvhlist,atanohyvhlist,atanohyvhlist
he's causing it to sound,IVa,True,,nohyvhlist,nohyvhlist,nohyvhlist,nohyvhlist,nohyvhlist
he's cooking it (a specific food),IVa,True,,vhnist,vhnist,vhnist,vhnist,vhnist
he/it is stopping,IVa,True,,alehwist,alehwist,alehwist,alehwist,alehwist
"he's burning him, it",IVa,True,,akohvst,akohvst,akohvst,akohvst,akohvst
"he's pressing down on him, it",IVa,True,,asonst,asonst,asonst,asonst,asonst
he's smelling it  (sniff),IVa,True,,alsvst,alsvst,alsvst,alsvst,alsvst
he's taking off running,IVa,True,,atanawst,atanawst,atanawst,atanawst,atanawst
He's making an X,IVa,True,,atahnawst,atahnawst,atahnawst,atahnawst,atahnawst
he's breaking it up,IVa,True,,yoist,yoist,yoist,yoist,yoist
he's loaning it to him,IVa,True,,atholst,atholst,atholst,atholst,atholst
he's scheduling time,IVa,True,,svst,svst,svst,svst,svst
he's accusing him,IVa,True,,uhist,uhist,uhist,uist,uhist
1. he's setting a goal 2.  he's aiming,IVa,True,,alsost,alsost,alsost,alsost,alsost
he's sifting it,IVa,True,,vkust,vkust,vkust,vkust,vkust
he's resting,IVa,True,,atawesolvst,atawesolvst,atawesolvst,atawesolvst,atawesolvst
he's straining it,IVa,True,,hnvsolvst,hnvsolvst,hnvsolvst,hnvsolvst,hnvsolvst
1. he's making smoke; 2. it's smoking,IVa,True,,khsvst,khsvst,khsvst,khsvst,khsvst
he's shattering it,IVa,True,,alhkhotht,alhkhotht,alhkhotht,alhkhotht,alhkhotht
it's becoming crisp,VIa2,True,,stakayvh,stakayvh,stakayvh,,
it's becoming crisp,VIIa2,True,,stakayv,stakayv,stakayv,,
it's ripping,IVb,True,,atatsakal,atatsakal,atatsakal,atatsakal,atatsakal
he's ripping it,IVb,True,,tsakal,tsakal,tsakal,tsakal,tsakal
"he's cleaning him, it",IVb,True,,nvkal,nvkal,nvkal,nvkal,nvkal
"he's peeling, skinning him, it",IVb,True,,nekal,nekal,nekal,nekal,nekal
he's playing ball,IVb,True,,alaskal,alaskal,alaskal,alaskal,alaskal
"1. he's cutting it, 2. he's slicing it",IVb,True,,kvhal,kvhal,kvhal,kvhal,kvhal
it's lightning,IVb,True,,nakal,nakal,nakal,,
it's lightning,IVb*,True,,nakal,nakal,nakal,,
he's helping him,IVb,True,,stel,stel,stel,stel,stel
he's helping,IVb,True,,alstel,alstel,alstel,alstel,alstel
he wants it,IVb,True,,tul,tul,tul,tul,tul
he's shelling corn,IVb*,True,,khthl,khthl,khthl,khthl,khthl
"1. he's calling him, inviting him. 2. he's receiving, getting him",IVb,True,,hyan,hyan,hyan,yan,hyan
he's starting/beginning,IVb,True,,alen,alen,alen,alen,alen
it's beginning,IVb,True,,talen,talen,talen,,talen
he's target practicing,IVb,True,,akon,akon,akon,akon,akon
1. he's withdrawing (a motion)  2. he's withdrawing (his candidacy)  3. he's pulling it out (a drawer),IVb*,True,,ases,ases,ases,ases,ases
he's finding a flexible object,IVb*,True,,nawhth,nawhth,nawhth,nawhth,nawhth
"he's finding him, it",IVb*,True,,hwahth,hwahth,hwahth,wahth,hwahth
he's finding some liquid,IVb*,True,,nehwahth,nehwahth,nehwahth,nehwahth,nehwahth
he's finding a long object,IVb*,True,,yvhwahth,yvhwahth,yvhwahth,yvhwahth,yvhwahth
"1. he's getting a long object., 2. he's picking up a long object",IVb,True,,y,y,y,y,y
he's having a birthday,IVb,True,,tethiy,tethiy,tethiy,tethiy,tethiy
he's paying,IVb,True,,akhwiy,akhwiy,akhwiy,akhwiy,akhwiy
1. he's catching him 2. he's arresting him 3. he's playing catcher,IVb,True,,niy,niy,niy,niy,niy
he's untying it,IVb*,True,,khanehy,khanehy,khanehy,khanehy,khanehy
he's cheating,IIc*,True,,lonuh,lonuh,lonuh,lonuh,lonuh
he's taking a long object out of a container,IVb,True,,l,l,l,l,l
he's drawing a liquid out of a container,IVb*,True,,tl,tl,tl,tl,tl
he's taking it somewhere,IVb,True,,hwit,hwit,hwit,hwit,hwit
he's choking him,IVb,True,,hyvskiy,hyvskiy,hyvskiy,yvskiy,hyvskiy
"1. he's walking around., 2. he's here",IXa,True,,et,et,et,et,et
he's tossing about,IXa,True,,nvtsit,nvtsit,nvtsit,nvtsit,nvtsit
he's climbing around,IXa,True,,lit,lit,lit,lit,lit
